title
爆薛瑞元「上班時間」見賴清德競辦高層　王鴻薇：是在喬高端嗎？
能登半島強震台灣捐6千萬日圓　蔡英文：日本有事就是台灣有事
圖／民眾熱情相挺、車掃拚人氣！　侯友宜：三重若贏新北就大贏
學者號召「民主之盾」向前行　呼籲1月13日踴躍出門投票
新北第9選區政見！林德福打黑金、莊銘淵重開機、陳愷寧列永和問題
基隆立委候選人提「另類政見」吸睛　向神明討房屋稅、罰寫道德經
國民黨立委候選人被爆曾圍毆警察　4打1還拿啤酒瓶敲被害者後腦勺
控李柏毅碩士論文涉抄襲　國民黨轟：賴清德學倫高標準選前就跳票
曝中央補助台中電動車內幕　林靜儀指：當年和王義川一起討論推動的
「小三改用乞丐豬」　台中立委候選人超奇葩政見曝光
快訊／不用等2026！「凱旋苑」承租戶　符合條件者可申請租金補貼
痛批民進黨剽竊影片重製抹黑散播　侯辦下午提告
侯友宜邀柯文哲聯合內閣　賴清德舉1人：黑金政黨聯合只是變黑金政權
直擊／侯友宜直搗新北綠營票倉　民進黨里長全程陪同、比3支持
侯辦「敬告」媒體勿播出民進黨廣告　賴清德：盼侯友宜改變戒嚴心態
民進黨公布「架空台灣」廣告　嗆侯友宜施壓媒體「警總再現」
賴辦控侯友宜施壓媒體　柳采薇反擊：多數媒體是民進黨的
羅明才喊「15萬票」就角逐新北市長　曾柏瑜：國民黨落跑優良傳統
「投錯人，偶像被消失！」　聶永真登報呼籲：選對人、挺美好！
韓媒證實「台親中立委」檢舉海鯤號用韓技術　賴清德重話批：令人不齒
控綠發布廣告前4秒涉抄襲　侯辦：目中無法又厚顏無恥
不要幻想中美都喜歡你　柯文哲：做到兩邊都可接受就很厲害
綠白今齊聚彰化！柯文哲掃街開講　蔡英文、賴清德率彰化隊造勢
蔡英文、賴清德〈在路上〉對話很假？　郭正亮指1點：實在聽不下去
韓媒證實「台親中立委舉報海鯤號用韓技術」　綠批叛國：全台都知是誰
高端採購合約選前公布？　柯文哲反問：為什麼2年前不公開
批「在路上」競選片像開車遊山玩水　呂秀蓮：勿被選舉花招迷惑
侯辦預告綠將發抹黑廣告「敬告」媒體不得播出　綠委批「藍色恐怖」
快訊／「挺柯YouTube頻道」無預警遭移除　急喊：了解情況中
「在路上」競選片化蔡賴心結？　黃揚明：靠蔡英文號召英粉歸隊
選舉公報驚見大咖藝人！兒女全是明星　網歪樓喊：魔王你贏了
侯友宜直言不會操作棄保　信心喊話「我一定會贏」
侯友宜拋政見「97萬青貧讀大學、碩士免費」　盼改善貧窮世襲
趙少康上《夜夜秀》狂吸130萬人觀看　蔡正元讚：只有他有本事
賴清德稱「是我核定當校長」　管中閔：當全台人民弱智失憶？
選戰觀察／侯康勝選只缺東風？　國民黨欠選民一個「棄柯」理由
韓商涉未經許可向台輸出潛艦技術遭追查　韓媒：台灣親中立委舉報
王婉諭長期關注居住正義　民團力挺：她總是很願意來請教
第一次街頭助講獻給王婉諭　障權會：票投認真做事的人
凱旋苑「戶外樓梯加窗」違規！北市要求限期改善　逾期未改將罰6萬
憲法「九二共識化」很危險？陸委會：兩岸應擺脫政治前提進入溝通
怒轟太離譜了！黃珊珊揭賴清德9大謊言　喊話：別選錯的人走錯的路
藍小雞不符參選資格　綠委「唯一對手」還喊：請賜票給其他優秀候選人
南華早報陸籍記者控「被禁採訪大選」　陸委會：要按採訪流程申請
「包租侯」看板台南上架　綠委酸：侯友宜這下無法「查水表」了吧？
藍綠桃園大拚場　賴清德中壢造勢湧入破10萬支持者
賴清德《在路上》哏喊「不會把大家丟路邊」　拋3使命：絕不走回頭路
快訊／2024大選首起　柯文哲造勢場驚傳男子攜鎮暴槍到場
幕後／賴清德黃金周「鐵人造勢」　重感冒硬拼背後有「不能輸」壓力
侯友宜上三立節目直球對決！要賴清德公布高端疫苗合約
賴清德談不分區名單安排　指政二代「應投入區域接受民意洗禮」
蕭美琴曝剛回台「對一事不適應」　曝美兩黨對立但談台灣「一致挺」
蔡英文造勢脫稿問支持者《在路上》觀看次數　「我覺得有人在騙我」
《在路上》蔡英文沒被丟包　賴清德曝彩蛋「在後照鏡」：講傳承和方向
陳其邁：選舉非做實驗　現在新北人像當時高雄人「覺得被市長拋棄」
張善政現身！批民進黨「為殘破政績擦脂抹粉」：醜八怪怎能變公主
柯文哲黃金周台中大造勢　現場湧3.5萬人熱情相挺翻轉藍綠
選戰觀察／南部綠到出汁？　「南部囡仔」侯友宜要拚鬆動綠票倉
快訊／新莊湧入破3萬支持者　賴清德超級星期六踢館侯友宜大本營
《在路上》點閱累積破千萬　綠支持者高舉「民主路」自製路標到場相挺
台中超級星期六！賴清德：若藍白國會過半「只會扯後腿」依賴中國
苗博雅支持者反廢死挺侯友宜！　侯辦：道出多數民眾的心聲
王婉諭被激動民眾嗆「女兒白死」　時力：嚴厲斥責這種情緒發言
超級星期六直搗侯友宜故鄉　賴清德走蔡英文路線：用人唯才、不分黨派
漏網鏡頭／侯友宜車掃遇年輕人比柯文哲號次　「雙手敬禮」展大器
「卡管案如鬼故事一般」　管中閔喊：歷史不容忘記！會隨時提醒
彰化藍綠催票衝刺！楊曜聰宗教力挺　黃秀芳大咖陪車掃　
新北立委第2選區政見一次看！林淑芬重交通　李有宜推都市更新
圖／侯友宜偕林金結車掃土城　「神力女超人」許淑華助陣
民進黨創黨元老力挺侯友宜！　轟賴清德「為政權不把人命當一回事」
藍營控賴清德炒地皮　李正皓反問：炒地皮會買在政策確定3年後？
小英總統從海邊回來了！合體余天挺李坤城　穀保子弟兵鼓勵蔡明堂
涉收大陸資金遭收押！馬治薇稱絕無危害國家社會　喊話：不會屈服
蔡正元控台大碩論涉抄襲　林靜儀反擊：越級打怪！浪費社會資源
羅智強幕僚「裝路人」堵苗博雅辯廢死　苗勸法條看清楚「達一共識」
李全教擅做柯文哲相挺文宣　民眾黨打臉：無授權使用「侵權觸法」
超級星期天鳴戰鼓！藍綠白「終局之戰」暖身　3方主帥決戰高雄　　　
廖先翔稱「佔國有地就退選」　賴品妤明秀一槍斃命證據：你今天就可退
柯文哲稱當選再修排黑條款　賴競辦點名：和民眾黨黑道12門徒討論？
前美女主播合體小金剛！高雄最正「七年級」處長喊：延續鳳山發展
快訊／馬治薇涉收中國資金遭收押　民眾黨宣布開除黨籍
白綠支持者互認對方比藍營壞？　呱吉：雙方溝通空間其實是最多的
余天現身輔選「沒不分區是小事」　為李坤城站台喊大局為重：挺民進黨
控賴清德炒地皮！一年暴漲800萬　國民黨指：搭配台南捷運沿線買房地
藍稱賴清德台南宅漲8百萬是炒房　賴辦：是自住不像侯友宜獵地投資
轟「用詐騙遮無能」　侯辦細數綠失政揭賴清德「不敢說的真相」
賴清德聽到死刑問題掉頭就走　侯辦：無視人民的自傲自滿態度又浮現
黃金周／柯文哲重兵壓台中、高雄　出奇招「跨進電視」突破同溫層
黃金周／侯友宜一天跑2縣市衝6都選票　選前固守新北「本命區」
民眾call in嗆王婉諭只監督在野黨「你女兒白死了」　王：錯誤解讀
他稱因教召改投侯康！國防部發聲　網友笑：國民黨執政就沒教召？
黃金周／賴清德單日橫跨南北6縣市　「終點站直搗侯友宜大本營」
韓國瑜喊「沒有柯總統」恐重創柯選情？　吳子嘉：根本傷不了他
賴清德萬里老宅被攻擊違建　賴表妹不捨：那是民國60幾年就存在地方
馬治薇涉收介選中資被逮　時力點3人：民眾黨黑金隊友再加1
曝年輕深綠支持者拒投賴清德心聲　陳學聖：能破副手轉正魔咒？　
中一選區激戰！　蔡壁如喊：已把蔡其昌逼到站街口
陳時中稱高端合約封存30年是造謠　柯文哲火氣大：合約書公開
柯文哲理解韓國瑜挺侯康有壓力　再嗆侯友宜「操作棄保還講一堆」
快訊／中共氣球四度飛越台灣　國防部：目的是以灰色地帶擾我民心
馬治薇涉收中國資金遭收押　柯文哲：台灣自主還是擺在兩岸和平前
《經濟學人》曝2024總統選舉兩岸關係　學者：認證侯友宜不會賣台
永康商圈理事長挺鐵漢總統候選人「反廢死」　楊植斗：苗博雅鐵粉已倒戈
陳時中開轟！高端合約封存30年「完全錯誤」　嗆造謠者立刻住手
新北第1選區／選戰倒數7天！洪孟楷明日合體侯友宜車掃
綠里長為挺侯發道歉信　柳采葳批民主開倒車：她透露出對黨的懼怕
賴清德承諾全力支持高雄捷運紫線　讚李柏毅推動交通、育兒工程
賴清德高雄輔選下動員令：總統開出百萬票　國會8席全壘打
何博文、李宇翔電動車隊拜票　師徒聯手盼113騎進國會
號召女力支持性別平權政黨　民進黨：讓厭女政治人物成為歷史灰燼
馬英九轟綠「貪污、濫權、愛財色」　籲：給教訓下台閉門思過
朱敬一曝好友改名移居故事　「台灣的未來走向才是決定選票抉擇關鍵」
侯康黃金周台南衝刺！馬英九轟綠「愛財色」：讓他退下來閉門思過
駁「突襲」賴清德萬里老家　新北市府：寄通知時還沒有任何代理人
快訊／軍公教退休金將調增！物價成長率達標　行政院：盼調幅不低於4%
新北市府稱萬里宅沒代理人　賴辦批謊話連篇：藏鏡人別再為難公務員
我堅決反對廢死！侯友宜提4主張防校園暴力　家長教師力挺修法
李柏毅遭控碩士論文涉抄襲　趙少康開嗆退選：還有資格選嗎？
直擊／韓國瑜魅力無法擋！　侯友宜台南造勢韓粉瘋喊「給我一個總統」
賴清德七度南下小英故鄉催票　拜託屏東鄉親讓徐富癸高票當選
韓媒證實「台親中立委」潛艦洩密　綠批藍「瞎挺」：馬文君還有臉參選
侯康政見「攻破綠營鐵票倉」　台大醫曝：LINE群一面倒說要投藍
快訊／高呼國家利益＞政黨利益　賴清德高雄籲「再拒絕韓國瑜一次」
選戰觀察／侯友宜南部拚小輸為贏   管中閔拉攏知識藍成亮眼手牌
空拍圖曝光！柯文哲高雄造勢直攻綠票倉　一旁公園亮整排「手機燈海」
蕭美琴憂韓國瑜成立法院長　「如何向外賓解釋他曾用膝蓋走路？」
太累了？柯文哲喊話三黨不過半　口誤稱「只有民進黨有關鍵力量」
超級星期天／賴清德衝高雄鳳山造勢　12萬人震撼空拍圖曝光
快訊／蔡英文喊「高雄衝全國最高票」　感性嘆：當台灣總統真光榮
高雄造勢破8萬人！柯文哲大進場花13分鐘　怒嗆民進黨政府「缺德」
狂酸韓國瑜被罷免「剛好而已」　蘇貞昌：高雄哪有又老又窮？
蔡英文曝「台灣跟各國、兩岸有風險管理機制」　有防衛決心很重要
讓樂音走入生活　綠營立委選將連辦2場音樂饗宴
「當台灣不存在對世界打擊很大！」　蔡英文：所以國際會共管風險
「馬時代台積電差點被併！士氣低」　謝金河：蔡執政才變護國神山
「中國依賴台灣＞台灣依賴中國」　謝金河：蔡英文執政8年巨變
選前最後周日衝刺！藍騎鐵馬掃街　綠封街塗鴉親子同樂
超級星期天／原民力挺　蕭美琴穿「國寶級戰袍」現身台東造勢　
隔空喊話韓國瑜！黃國昌：我們不是空氣槍　是代表生命力的「小草」
柯文哲還沒到⋯高雄造勢已擠2.5萬人　場內支持者爆滿「溢出到公園」
馬英九又口誤！　為侯友宜站台喊「下架國民黨」才能撥亂反正
高雄造勢強打經國牌　侯友宜：選民要對得起蔣經國跟台灣下一代
朱立倫稱「國民黨知錯且改革」　溫情喊話南部鄉親要選愛台總統
快訊／國民黨高雄造勢喊破12萬人　侯友宜大進場走超過10分鐘
韓國瑜喊讓選票爆炸支持侯康　笑管中閔挺侯如「大姑娘進洞房」
管爺降臨爆歡呼！管中閔高雄挺侯友宜　「唯一心願下架民進黨」
超級星期天！陳其邁陪許智傑拜票炒熱鳳山　秒變簽名會甜寫：愛你
直擊／「國民黨王心凌」來了！　柯志恩率高雄小雞辣跳「愛你」
選前關鍵6天！蕭美琴挺李坤城「專業不買票」　蔡明堂走市場拉票
侯辦再批賴清德廣告侵權　民進黨：跟中共思維一樣
民進黨4選將南北串連　王定宇挺黃捷「國會過半關鍵」
